,regions,tech,life,life_notes
10475,SE,C_LT_CFL_GSL_R,3.0,yrs
10476,SE,C_LT_HALST_RFL_N,2.0,yrs
10483,SE,C_LT_HAL_RFL_R,2.0,yrs
10484,SE,C_LT_HIRST_RFL_N,2.0,yrs
10491,SE,C_LT_HIR_RFL_R,2.0,yrs
10492,SE,C_LT_LEDHE_GSL_N,13.0,yrs
10499,SE,C_LT_LEDHE_LFL_N,12.0,yrs
10506,SE,C_LT_LEDHE_RFL_N,13.0,yrs
10513,SE,C_LT_LEDST_GSL_N,13.0,yrs
10520,SE,C_LT_LEDST_LFL_N,12.0,yrs
10527,SE,C_LT_LEDST_RFL_N,13.0,yrs
10534,SE,C_LT_LUMHE_HB_N,24.0,yrs
10541,SE,C_LT_LUMHE_LB_N,24.0,yrs
10548,SE,C_LT_LUMHE_LFL_N,24.0,yrs
10555,SE,C_LT_LUMST_HB_N,24.0,yrs
10562,SE,C_LT_LUMST_LB_N,24.0,yrs
10569,SE,C_LT_LUMST_LFL_N,24.0,yrs
10576,SE,C_LT_LUM_LFL_R,17.0,yrs
10579,SE,C_LT_MERCST_HB_N,6.0,yrs
10586,SE,C_LT_MERCST_LB_N,6.0,yrs
10593,SE,C_LT_MERC_HB_R,6.0,yrs
10594,SE,C_LT_MERC_LB_R,6.0,yrs
10595,SE,C_LT_MTHALST_HB_N,4.0,yrs
10602,SE,C_LT_MTHALST_LB_N,4.0,yrs
10609,SE,C_LT_MTHAL_HB_R,4.0,yrs
10610,SE,C_LT_MTHAL_LB_R,4.0,yrs
10611,SE,C_LT_NAVAPST_HB_N,6.0,yrs
10618,SE,C_LT_NAVAPST_LB_N,6.0,yrs
10625,SE,C_LT_NAVAP_HB_R,6.0,yrs
10626,SE,C_LT_NAVAP_LB_R,6.0,yrs
10627,SE,C_LT_T5HE_LFL_N,8.0,yrs
10634,SE,C_LT_T5HOHE_HB_N,7.0,yrs
10641,SE,C_LT_T5HOST_HB_N,7.0,yrs
10648,SE,C_LT_T5HO_HB_R,6.0,yrs
10649,SE,C_LT_T5ST_LFL_N,8.0,yrs
10656,SE,C_LT_T5_LFL_R,7.0,yrs
10658,SE,C_LT_T8HE_LFL_N,6.0,yrs
10665,SE,C_LT_T8ST_LFL_N,6.0,yrs
10672,SE,C_LT_T8_LFL_R,6.0,yrs
10673,SE,C_OW_DSL_N,25.0,yrs
10680,SE,C_OW_DSL_R,25.0,yrs
10683,SE,C_OW_ELC_N,25.0,yrs
10690,SE,C_OW_ELC_R,25.0,yrs
10693,SE,C_OW_NGA_N,25.0,yrs
10700,SE,C_OW_NGA_R,25.0,yrs
10703,SE,C_RF_BVMHE_ELC_N,10.0,yrs
10710,SE,C_RF_BVMHE_ELC_R,10.0,yrs
10712,SE,C_RF_BVMST_ELC_N,10.0,yrs
10719,SE,C_RF_BVM_ELC_R,10.0,yrs
10721,SE,C_RF_CENHE_ELC_N,10.0,yrs
10728,SE,C_RF_CENST_ELC_N,10.0,yrs
10735,SE,C_RF_CEN_ELC_R,10.0,yrs
10737,SE,C_RF_CMPHE_ELC_N,15.0,yrs
10744,SE,C_RF_CMPST_ELC_N,15.0,yrs
10751,SE,C_RF_CMP_ELC_R,15.0,yrs
10753,SE,C_RF_CNDHE_ELC_N,10.0,yrs
10760,SE,C_RF_CNDST_ELC_N,10.0,yrs
10767,SE,C_RF_CND_ELC_R,10.0,yrs
10769,SE,C_RF_ICMHE_ELC_N,8.0,yrs
10776,SE,C_RF_ICMST_ELC_N,8.0,yrs
10783,SE,C_RF_ICM_ELC_R,8.0,yrs
10785,SE,C_RF_RIFHE_ELC_N,10.0,yrs
10792,SE,C_RF_RIFHE_ELC_R,10.0,yrs
10794,SE,C_RF_RIFST_ELC_N,10.0,yrs
10801,SE,C_RF_RIF_ELC_R,10.0,yrs
10803,SE,C_RF_RIRHE_ELC_N,10.0,yrs
10810,SE,C_RF_RIRHE_ELC_R,10.0,yrs
10812,SE,C_RF_RIRST_ELC_N,10.0,yrs
10819,SE,C_RF_RIR_ELC_R,10.0,yrs
10821,SE,C_RF_RVMHE_ELC_N,14.0,yrs
10828,SE,C_RF_RVMST_ELC_N,14.0,yrs
10835,SE,C_RF_RVM_ELC_R,14.0,yrs
10837,SE,C_RF_WIFHE_ELC_N,10.0,yrs
10844,SE,C_RF_WIFHE_ELC_R,10.0,yrs
10846,SE,C_RF_WIFST_ELC_N,10.0,yrs
10853,SE,C_RF_WIF_ELC_R,10.0,yrs
10855,SE,C_RF_WIRHE_ELC_N,12.0,yrs
10862,SE,C_RF_WIRHE_ELC_R,12.0,yrs
10864,SE,C_RF_WIRST_ELC_N,12.0,yrs
10871,SE,C_RF_WIR_ELC_R,12.0,yrs
10873,SE,C_SC_CCCHE_ELC_N,25.0,yrs
10880,SE,C_SC_CCCHE_ELC_R,25.0,yrs
10883,SE,C_SC_CCCST_ELC_N,25.0,yrs
10890,SE,C_SC_CCC_ELC_R,25.0,yrs
10893,SE,C_SC_CHA_NGA_N,23.0,yrs
10900,SE,C_SC_CHA_NGA_R,23.0,yrs
10903,SE,C_SC_CHEDAHE_N,25.0,yrs
10910,SE,C_SC_CHEDA_R,25.0,yrs
10913,SE,C_SC_CRCHE_ELC_N,20.0,yrs
10920,SE,C_SC_CRCHE_ELC_R,20.0,yrs
10923,SE,C_SC_CRCST_ELC_N,20.0,yrs
10930,SE,C_SC_CRC_ELC_R,20.0,yrs
10933,SE,C_SC_CSCHE_ELC_N,20.0,yrs
10940,SE,C_SC_CSCHE_ELC_R,20.0,yrs
10943,SE,C_SC_CSCST_ELC_N,20.0,yrs
10950,SE,C_SC_CSC_ELC_R,20.0,yrs
10953,SE,C_SC_CSWHE_ELC_N,20.0,yrs
10960,SE,C_SC_CSWHE_ELC_R,20.0,yrs
10963,SE,C_SC_CSWST_ELC_N,20.0,yrs
10970,SE,C_SC_CSW_ELC_R,20.0,yrs
10973,SE,C_SC_RACHE_ELC_N,21.0,yrs
10980,SE,C_SC_RACHE_ELC_R,21.0,yrs
10983,SE,C_SC_RACST_ELC_N,21.0,yrs
10990,SE,C_SC_RACST_NGA_N,15.0,yrs
10997,SE,C_SC_RAC_ELC_R,21.0,yrs
11000,SE,C_SC_RAC_NGA_R,15.0,yrs
11002,SE,C_SH_BHE_DISTOIL_N,26.0,yrs
11009,SE,C_SH_BHE_DISTOIL_R,30.0,yrs
11012,SE,C_SH_BHE_NGA_N,25.0,yrs
11019,SE,C_SH_BHE_NGA_R,25.0,yrs
11022,SE,C_SH_BST_DISTOIL_N,26.0,yrs
11029,SE,C_SH_BST_ELC_N,15.0,yrs
11036,SE,C_SH_BST_NGA_N,25.0,yrs
11043,SE,C_SH_B_DISTOIL_R,30.0,yrs
11046,SE,C_SH_B_ELC_R,15.0,yrs
11048,SE,C_SH_B_NGA_R,30.0,yrs
11051,SE,C_SH_ERST_ELC_N,18.0,yrs
11058,SE,C_SH_ER_ELC_R,18.0,yrs
11061,SE,C_SH_FHE_NGA_N,23.0,yrs
11068,SE,C_SH_FHE_NGA_R,23.0,yrs
11071,SE,C_SH_FST_DISTOIL_N,23.0,yrs
11078,SE,C_SH_FST_NGA_N,23.0,yrs
11085,SE,C_SH_F_DISTOIL_R,23.0,yrs
11088,SE,C_SH_F_NGA_R,23.0,yrs
11091,SE,C_VT_CAVHE_ELC_N,20.0,yrs
11098,SE,C_VT_CAVST_ELC_N,20.0,yrs
11105,SE,C_VT_CAV_ELC_R,20.0,yrs
11108,SE,C_VT_VAVHE_ELC_N,20.0,yrs
11115,SE,C_VT_VAVST_ELC_N,20.0,yrs
11122,SE,C_VT_VAV_ELC_R,20.0,yrs
11125,SE,C_WH_DWHHE_DISTOIL_N,13.0,yrs
11132,SE,C_WH_DWHHE_DISTOIL_R,13.0,yrs
11134,SE,C_WH_DWHST_DISTOIL_N,13.0,yrs
11141,SE,C_WH_DWH_DISTOIL_R,13.0,yrs
11143,SE,C_WH_EWHST_ELC_N,12.0,yrs
11150,SE,C_WH_HPST_ELC_N,15.0,yrs
11157,SE,C_WH_HP_ELC_R,15.0,yrs
11159,SE,C_WH_NWHHE_NGA_N,10.0,yrs
11166,SE,C_WH_NWHHE_NGA_R,10.0,yrs
11168,SE,C_WH_NWHST_NGA_N,10.0,yrs
11175,SE,C_WH_NWH_NGA_R,13.0,yrs
11177,SE,C_WH_SOLST_ELC_N,20.0,yrs
11184,SE,C_WH_SOLST_ELC_R,20.0,yrs
11187,SE,C_WH_SOL_ELC_R,20.0,yrs
11190,SE,R_CD_ELC_R,13.0,yrs
11192,SE,R_CD_HE_ELC_N,13.0,yrs
11199,SE,R_CD_HE_NGA_N,13.0,yrs
11206,SE,R_CD_NGA_R,13.0,yrs
11208,SE,R_CD_ST_ELC_N,13.0,yrs
11215,SE,R_CD_ST_NGA_N,13.0,yrs
11222,SE,R_CK_OVHE_NGA_N,12.0,yrs
11229,SE,R_CK_OVST_NGA_N,12.0,yrs
11236,SE,R_CK_OV_NGA_R,12.0,yrs
11238,SE,R_CK_TOPHE_ELC_N,19.0,yrs
11245,SE,R_CK_TOPHE_NGA_N,12.0,yrs
11252,SE,R_CK_TOPST_ELC_N,15.0,yrs
11259,SE,R_CK_TOPST_NGA_N,12.0,yrs
11266,SE,R_CK_TOP_ELC_R,15.0,yrs
11268,SE,R_CK_TOP_NGA_R,12.0,yrs
11270,SE,R_DW_ELC_R,14.0,yrs
11272,SE,R_DW_HE_ELC_N,14.0,yrs
11279,SE,R_DW_ST_ELC_N,14.0,yrs
11286,SE,R_FZ_CHESTHE_N,22.0,yrs
11293,SE,R_FZ_CHESTST_N,22.0,yrs
11300,SE,R_FZ_CHEST_R,22.0,yrs
11303,SE,R_FZ_UPRIGHTHE_N,22.0,yrs
11310,SE,R_FZ_UPRIGHTST_N,22.0,yrs
11317,SE,R_FZ_UPRIGHT_R,22.0,yrs
11320,SE,R_HPELC_R,15.0,yrs
11328,SE,R_HPHE_ELC_N,15.0,yrs
11356,SE,R_HPHE_GEO_N,14.0,yrs
11384,SE,R_HPST_ELC_N,15.0,yrs
11412,SE,R_HPST_GEO_N,14.0,yrs
11440,SE,R_HPST_NGA_N,15.0,yrs
11447,SE,R_HP_GEO_R,14.0,yrs
11455,SE,R_HP_NGA_N,15.0,yrs
11462,SE,R_HP_NGA_R,15.0,yrs
11466,SE,R_LT_CFLHE_GSL_N,17.0,yrs
11473,SE,R_LT_CFLHE_RFL_N,17.0,yrs
11480,SE,R_LT_CFLST_GSL_N,17.0,yrs
11487,SE,R_LT_CFLST_RFL_N,17.0,yrs
11494,SE,R_LT_CFLST_ROL_N,10.0,yrs
11501,SE,R_LT_CFL_GSL_R,15.0,yrs
11503,SE,R_LT_CFL_RFL_R,12.0,yrs
11505,SE,R_LT_CFL_ROL_R,9.0,yrs
11507,SE,R_LT_HALST_RFL_N,2.0,yrs
11514,SE,R_LT_HALST_ROL_N,2.0,yrs
11521,SE,R_LT_HAL_RFL_R,2.0,yrs
11522,SE,R_LT_HAL_ROL_R,2.0,yrs
11523,SE,R_LT_HIRST_RFL_N,7.0,yrs
11530,SE,R_LT_HIRST_ROL_N,4.0,yrs
11537,SE,R_LT_HIR_RFL_R,6.0,yrs
11538,SE,R_LT_INCST_RFL_N,3.0,yrs
11545,SE,R_LT_INCST_ROL_N,2.0,yrs
11552,SE,R_LT_INC_RFL_R,3.0,yrs
11553,SE,R_LT_INC_ROL_R,2.0,yrs
11554,SE,R_LT_LED60HE_GSL_N,76.0,yrs
11561,SE,R_LT_LED60ST_GSL_N,76.0,yrs
11568,SE,R_LT_LED60_GSL_R,31.0,yrs
11571,SE,R_LT_LEDHE_LUM_N,145.0,yrs
11578,SE,R_LT_LEDHE_RFL_N,77.0,yrs
11585,SE,R_LT_LEDHE_ROL_N,47.0,yrs
11592,SE,R_LT_LEDST_LUM_N,145.0,yrs
11599,SE,R_LT_LEDST_RFL_N,77.0,yrs
11606,SE,R_LT_LEDST_ROL_N,47.0,yrs
11613,SE,R_LT_LLRHE_L2L_N,73.0,yrs
11620,SE,R_LT_LLRST_L2L_N,73.0,yrs
11627,SE,R_LT_T5HE_LFL_N,47.0,yrs
11634,SE,R_LT_T5ST_LFL_N,47.0,yrs
11641,SE,R_LT_T8HE_LFL_N,38.0,yrs
11648,SE,R_LT_T8ST_LFL_N,34.0,yrs
11655,SE,R_LT_T8_LFL_R,29.0,yrs
11658,SE,R_OW_ELC_N,25.0,yrs
11665,SE,R_OW_ELC_R,25.0,yrs
11668,SE,R_RF_BFELC_R,17.0,yrs
11671,SE,R_RF_BFHE_ELC_N,17.0,yrs
11678,SE,R_RF_BFST_ELC_N,17.0,yrs
11685,SE,R_RF_SFELC_R,17.0,yrs
11688,SE,R_RF_SFHE_ELC_N,17.0,yrs
11695,SE,R_RF_SFST_ELC_N,17.0,yrs
11702,SE,R_RF_TFELC_R,17.0,yrs
11705,SE,R_RF_TFHE_ELC_N,17.0,yrs
11712,SE,R_RF_TFST_ELC_N,17.0,yrs
11719,SE,R_SC_CACELC_R,18.0,yrs
11725,SE,R_SC_CACHE_ELC_N,18.0,yrs
11739,SE,R_SC_CACST_ELC_N,18.0,yrs
11753,SE,R_SC_RACELC_R,9.0,yrs
11757,SE,R_SC_RACHE_ELC_N,9.0,yrs
11771,SE,R_SC_RACST_ELC_N,9.0,yrs
11785,SE,R_SH_BLRHE_DISTOIL_N,23.0,yrs
11792,SE,R_SH_BLRHE_NGA_N,25.0,yrs
11799,SE,R_SH_BLRST_DISTOIL_N,23.0,yrs
11806,SE,R_SH_BLRST_NGA_N,25.0,yrs
11813,SE,R_SH_BLR_DISTOIL_R,23.0,yrs
11816,SE,R_SH_BLR_NGA_R,25.0,yrs
11819,SE,R_SH_FDISTOIL_R,26.0,yrs
11822,SE,R_SH_FHE_DISTOIL_N,26.0,yrs
11829,SE,R_SH_FHE_NGA_N,21.0,yrs
11836,SE,R_SH_FLPG_R,21.0,yrs
11839,SE,R_SH_FNGA_R,21.0,yrs
11842,SE,R_SH_FST_DISTOIL_N,26.0,yrs
11849,SE,R_SH_FST_ELC_N,22.0,yrs
11856,SE,R_SH_FST_LPG_N,21.0,yrs
11863,SE,R_SH_FST_NGA_N,21.0,yrs
11870,SE,R_SH_F_ELC_R,22.0,yrs
11873,SE,R_SH_PLTHE_BIO_N,25.0,yrs
11880,SE,R_SH_PLTST_BIO_N,25.0,yrs
11887,SE,R_SH_RESST_ELC_N,22.0,yrs
11894,SE,R_SH_RES_ELC_R,22.0,yrs
11897,SE,R_SH_WHBIO_R,18.0,yrs
11900,SE,R_SH_WHHE_BIO_N,18.0,yrs
11907,SE,R_SH_WHST_BIO_N,18.0,yrs
11914,SE,R_WH_ELC_R,13.0,yrs
11918,SE,R_WH_ERHE_ELC_N,13.0,yrs
11932,SE,R_WH_ERST_ELC_N,13.0,yrs
11946,SE,R_WH_GFHE_NGA_N,13.0,yrs
11953,SE,R_WH_GFST_NGA_N,13.0,yrs
11960,SE,R_WH_GF_NGA_R,13.0,yrs
11962,SE,R_WH_HPHE_ELC_N,13.0,yrs
11969,SE,R_WH_HPST_ELC_N,13.0,yrs
11976,SE,R_WH_OFHE_DISTOIL_N,13.0,yrs
11983,SE,R_WH_OFST_DISTOIL_N,13.0,yrs
11990,SE,R_WH_OF_DISTOIL_R,13.0,yrs
11992,SE,R_WH_SOLELC_R,22.0,yrs
11998,SE,R_WH_SOLST_ELC_N,22.0,yrs
12012,MID_AT,C_AHPHE_ELC_N,15.0,yrs
12026,MID_AT,C_AHPHE_ELC_R,20.0,yrs
12029,MID_AT,C_AHPST_ELC_N,15.0,yrs
12043,MID_AT,C_AHP_ELC_R,20.0,yrs
12049,MID_AT,C_CK_RANGEHE_ELC_N,12.0,yrs
12056,MID_AT,C_CK_RANGEHE_ELC_R,12.0,yrs
12058,MID_AT,C_CK_RANGEHE_NGA_N,12.0,yrs
12065,MID_AT,C_CK_RANGEHE_NGA_R,12.0,yrs
12067,MID_AT,C_CK_RANGEST_ELC_N,12.0,yrs
12074,MID_AT,C_CK_RANGEST_NGA_N,12.0,yrs
12081,MID_AT,C_CK_RANGE_ELC_R,12.0,yrs
12083,MID_AT,C_CK_RANGE_NGA_R,12.0,yrs
12085,MID_AT,C_GHPHE_ELC_N,14.0,yrs
12099,MID_AT,C_GHPHE_ELC_R,14.0,yrs
12101,MID_AT,C_GHPST_ELC_N,14.0,yrs
12115,MID_AT,C_GHP_ELC_R,14.0,yrs
12119,MID_AT,C_LT_8FTLEDHE_LFL_N,12.0,yrs
12126,MID_AT,C_LT_8FTLEDST_LFL_N,12.0,yrs
12133,MID_AT,C_LT_8FTLUMHE_LFL_N,24.0,yrs
12140,MID_AT,C_LT_8FTLUMST_LFL_N,24.0,yrs
12147,MID_AT,C_LT_8FTT8HE_LFL_N,6.0,yrs
12154,MID_AT,C_LT_8FTT8HOHE_LFL_N,5.0,yrs
12161,MID_AT,C_LT_8FTT8HOST_LFL_N,5.0,yrs
12168,MID_AT,C_LT_8FTT8HO_LFL_R,4.0,yrs
12169,MID_AT,C_LT_8FTT8ST_LFL_N,6.0,yrs
12176,MID_AT,C_LT_8FTT8_LFL_R,6.0,yrs
12177,MID_AT,C_LT_CFLHE_GSL_N,3.0,yrs
12184,MID_AT,C_LT_CFLST_GSL_N,3.0,yrs
12191,MID_AT,C_LT_CFL_GSL_R,3.0,yrs
12192,MID_AT,C_LT_HALST_RFL_N,2.0,yrs
12199,MID_AT,C_LT_HAL_RFL_R,2.0,yrs
12200,MID_AT,C_LT_HIRST_RFL_N,2.0,yrs
12207,MID_AT,C_LT_HIR_RFL_R,2.0,yrs
12208,MID_AT,C_LT_LEDHE_GSL_N,13.0,yrs
12215,MID_AT,C_LT_LEDHE_LFL_N,12.0,yrs
12222,MID_AT,C_LT_LEDHE_RFL_N,13.0,yrs
12229,MID_AT,C_LT_LEDST_GSL_N,13.0,yrs
12236,MID_AT,C_LT_LEDST_LFL_N,12.0,yrs
12243,MID_AT,C_LT_LEDST_RFL_N,13.0,yrs
12250,MID_AT,C_LT_LUMHE_HB_N,24.0,yrs
12257,MID_AT,C_LT_LUMHE_LB_N,24.0,yrs
12264,MID_AT,C_LT_LUMHE_LFL_N,24.0,yrs
12271,MID_AT,C_LT_LUMST_HB_N,24.0,yrs
12278,MID_AT,C_LT_LUMST_LB_N,24.0,yrs
12285,MID_AT,C_LT_LUMST_LFL_N,24.0,yrs
12292,MID_AT,C_LT_LUM_LFL_R,17.0,yrs
12295,MID_AT,C_LT_MERCST_HB_N,6.0,yrs
12302,MID_AT,C_LT_MERCST_LB_N,6.0,yrs
12309,MID_AT,C_LT_MERC_HB_R,6.0,yrs
12310,MID_AT,C_LT_MERC_LB_R,6.0,yrs
12311,MID_AT,C_LT_MTHALST_HB_N,4.0,yrs
12318,MID_AT,C_LT_MTHALST_LB_N,4.0,yrs
12325,MID_AT,C_LT_MTHAL_HB_R,4.0,yrs
12326,MID_AT,C_LT_MTHAL_LB_R,4.0,yrs
12327,MID_AT,C_LT_NAVAPST_HB_N,6.0,yrs
12334,MID_AT,C_LT_NAVAPST_LB_N,6.0,yrs
12341,MID_AT,C_LT_NAVAP_HB_R,6.0,yrs
12342,MID_AT,C_LT_NAVAP_LB_R,6.0,yrs
12343,MID_AT,C_LT_T5HE_LFL_N,8.0,yrs
12350,MID_AT,C_LT_T5HOHE_HB_N,7.0,yrs
12357,MID_AT,C_LT_T5HOST_HB_N,7.0,yrs
12364,MID_AT,C_LT_T5HO_HB_R,6.0,yrs
12365,MID_AT,C_LT_T5ST_LFL_N,8.0,yrs
12372,MID_AT,C_LT_T5_LFL_R,7.0,yrs
12374,MID_AT,C_LT_T8HE_LFL_N,6.0,yrs
12381,MID_AT,C_LT_T8ST_LFL_N,6.0,yrs
12388,MID_AT,C_LT_T8_LFL_R,6.0,yrs
12389,MID_AT,C_OW_DSL_N,25.0,yrs
12396,MID_AT,C_OW_DSL_R,25.0,yrs
12399,MID_AT,C_OW_ELC_N,25.0,yrs
12406,MID_AT,C_OW_ELC_R,25.0,yrs
12409,MID_AT,C_OW_NGA_N,25.0,yrs
12416,MID_AT,C_OW_NGA_R,25.0,yrs
12419,MID_AT,C_RF_BVMHE_ELC_N,10.0,yrs
12426,MID_AT,C_RF_BVMHE_ELC_R,10.0,yrs
12428,MID_AT,C_RF_BVMST_ELC_N,10.0,yrs
12435,MID_AT,C_RF_BVM_ELC_R,10.0,yrs
12437,MID_AT,C_RF_CENHE_ELC_N,10.0,yrs
12444,MID_AT,C_RF_CENST_ELC_N,10.0,yrs
12451,MID_AT,C_RF_CEN_ELC_R,10.0,yrs
12453,MID_AT,C_RF_CMPHE_ELC_N,15.0,yrs
12460,MID_AT,C_RF_CMPST_ELC_N,15.0,yrs
12467,MID_AT,C_RF_CMP_ELC_R,15.0,yrs
12469,MID_AT,C_RF_CNDHE_ELC_N,10.0,yrs
12476,MID_AT,C_RF_CNDST_ELC_N,10.0,yrs
12483,MID_AT,C_RF_CND_ELC_R,10.0,yrs
12485,MID_AT,C_RF_ICMHE_ELC_N,8.0,yrs
12492,MID_AT,C_RF_ICMST_ELC_N,8.0,yrs
12499,MID_AT,C_RF_ICM_ELC_R,8.0,yrs
12501,MID_AT,C_RF_RIFHE_ELC_N,10.0,yrs
12508,MID_AT,C_RF_RIFHE_ELC_R,10.0,yrs
12510,MID_AT,C_RF_RIFST_ELC_N,10.0,yrs
12517,MID_AT,C_RF_RIF_ELC_R,10.0,yrs
12519,MID_AT,C_RF_RIRHE_ELC_N,10.0,yrs
12526,MID_AT,C_RF_RIRHE_ELC_R,10.0,yrs
12528,MID_AT,C_RF_RIRST_ELC_N,10.0,yrs
12535,MID_AT,C_RF_RIR_ELC_R,10.0,yrs
12537,MID_AT,C_RF_RVMHE_ELC_N,14.0,yrs
12544,MID_AT,C_RF_RVMST_ELC_N,14.0,yrs
12551,MID_AT,C_RF_RVM_ELC_R,14.0,yrs
12553,MID_AT,C_RF_WIFHE_ELC_N,10.0,yrs
12560,MID_AT,C_RF_WIFHE_ELC_R,10.0,yrs
12562,MID_AT,C_RF_WIFST_ELC_N,10.0,yrs
12569,MID_AT,C_RF_WIF_ELC_R,10.0,yrs
12571,MID_AT,C_RF_WIRHE_ELC_N,12.0,yrs
12578,MID_AT,C_RF_WIRHE_ELC_R,12.0,yrs
12580,MID_AT,C_RF_WIRST_ELC_N,12.0,yrs
12587,MID_AT,C_RF_WIR_ELC_R,12.0,yrs
12589,MID_AT,C_SC_CCCHE_ELC_N,25.0,yrs
12596,MID_AT,C_SC_CCCHE_ELC_R,25.0,yrs
12599,MID_AT,C_SC_CCCST_ELC_N,25.0,yrs
12606,MID_AT,C_SC_CCC_ELC_R,25.0,yrs
12609,MID_AT,C_SC_CHA_NGA_N,23.0,yrs
12616,MID_AT,C_SC_CHA_NGA_R,23.0,yrs
12619,MID_AT,C_SC_CHEDAHE_N,25.0,yrs
12626,MID_AT,C_SC_CHEDA_R,25.0,yrs
12629,MID_AT,C_SC_CRCHE_ELC_N,20.0,yrs
12636,MID_AT,C_SC_CRCHE_ELC_R,20.0,yrs
12639,MID_AT,C_SC_CRCST_ELC_N,20.0,yrs
12646,MID_AT,C_SC_CRC_ELC_R,20.0,yrs
12649,MID_AT,C_SC_CSCHE_ELC_N,20.0,yrs
12656,MID_AT,C_SC_CSCHE_ELC_R,20.0,yrs
12659,MID_AT,C_SC_CSCST_ELC_N,20.0,yrs
12666,MID_AT,C_SC_CSC_ELC_R,20.0,yrs
12669,MID_AT,C_SC_CSWHE_ELC_N,20.0,yrs
12676,MID_AT,C_SC_CSWHE_ELC_R,20.0,yrs
12679,MID_AT,C_SC_CSWST_ELC_N,20.0,yrs
12686,MID_AT,C_SC_CSW_ELC_R,20.0,yrs
12689,MID_AT,C_SC_RACHE_ELC_N,21.0,yrs
12696,MID_AT,C_SC_RACHE_ELC_R,21.0,yrs
12699,MID_AT,C_SC_RACST_ELC_N,21.0,yrs
12706,MID_AT,C_SC_RACST_NGA_N,15.0,yrs
12713,MID_AT,C_SC_RAC_ELC_R,21.0,yrs
12716,MID_AT,C_SC_RAC_NGA_R,15.0,yrs
12718,MID_AT,C_SH_BHE_DISTOIL_N,26.0,yrs
12725,MID_AT,C_SH_BHE_DISTOIL_R,30.0,yrs
12728,MID_AT,C_SH_BHE_NGA_N,25.0,yrs
12735,MID_AT,C_SH_BHE_NGA_R,25.0,yrs
12738,MID_AT,C_SH_BST_DISTOIL_N,26.0,yrs
12745,MID_AT,C_SH_BST_ELC_N,15.0,yrs
12752,MID_AT,C_SH_BST_NGA_N,25.0,yrs
12759,MID_AT,C_SH_B_DISTOIL_R,30.0,yrs
12762,MID_AT,C_SH_B_ELC_R,15.0,yrs
12764,MID_AT,C_SH_B_NGA_R,30.0,yrs
12767,MID_AT,C_SH_ERST_ELC_N,18.0,yrs
12774,MID_AT,C_SH_ER_ELC_R,18.0,yrs
12777,MID_AT,C_SH_FHE_NGA_N,23.0,yrs
12784,MID_AT,C_SH_FHE_NGA_R,23.0,yrs
12787,MID_AT,C_SH_FST_DISTOIL_N,23.0,yrs
12794,MID_AT,C_SH_FST_NGA_N,23.0,yrs
12801,MID_AT,C_SH_F_DISTOIL_R,23.0,yrs
12804,MID_AT,C_SH_F_NGA_R,23.0,yrs
12807,MID_AT,C_VT_CAVHE_ELC_N,20.0,yrs
12814,MID_AT,C_VT_CAVST_ELC_N,20.0,yrs
12821,MID_AT,C_VT_CAV_ELC_R,20.0,yrs
12824,MID_AT,C_VT_VAVHE_ELC_N,20.0,yrs
12831,MID_AT,C_VT_VAVST_ELC_N,20.0,yrs
12838,MID_AT,C_VT_VAV_ELC_R,20.0,yrs
